//Map No	Old Grouping	New Grouping	New Flip	1
1.1.1.100.100.100.350.206.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.207.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.220.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.220.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.240.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.240.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.300.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.300.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.320.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.320.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.350.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.350.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.360.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.360.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.400.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.400.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.410.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.410.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.420.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.420.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.430.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.430.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.440.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.450.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.450.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.451.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.600.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.600.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.601.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.601.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.610.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.610.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.611.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.611.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.660.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.660.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.350.700.00000.000	20.20.10.001	20.20.06.10.001		1
1.1.1.100.100.100.350.700.01000.000	20.20.10.011	20.20.06.10.011		1
1.1.1.100.100.100.400.100.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.100.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.200.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.200.00000.001	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.200.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.200.01000.001	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.205.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.205.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.206.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.206.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.207.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.220.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.220.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.240.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.240.01000.000	20.20.10.011	20.20.07.10.011		1
